run,time
993,4899605
994,4696956
995,6117559
996,4719993
997,4831245
998,4851375
999,4644241
1000,4465231
1001,4587753
1002,5949892
1003,5125424
1004,4908075
1005,4706225
1006,4687514
1007,4706182
1008,4619855
1009,4795601
1010,4730484
1011,4784906
1012,4826138
1013,4694718
1014,4980580
1015,4638696
1016,4716617
1017,5037063
1018,4719585
1019,4684414
1020,4843435
1021,5739438
1022,5433016
1023,4833009
1024,4940794
1025,5140936
1026,4737919
1027,5397106
1028,5585484
1029,5015306
1030,5047909
1031,4907543
1032,4701168
1033,5602825
1034,4774088
1035,4965998
1036,4760149
1037,4801375
1038,4763822
1039,5021335
1040,4887715
1041,4723909
1042,4736611
1043,4654471
1044,4578491
1045,4503550
1046,4601958
1047,4640810
1048,4522982
1049,4626969
1050,4851155
1051,4866000
1052,4967138
1053,5539789
1054,4767636
1055,5076721
1056,5175278
1057,4790980
1058,5713591
1059,6162007
1060,5026031
1061,4971437
1062,4954454
1063,4729684
1064,6298984
1065,5107769
1066,4774086
1067,5054662
1068,4993739
1069,4744799
1070,5093495
1071,4710479
1072,4734430
1073,4788763
1074,5058879
1075,4656732
1076,4895958
1077,5490150
1078,4764392
1079,4948125
1080,4763321
1081,4695833
1082,4864146
1083,4807553
1084,4723290
1085,4620587
1086,4945123
1087,4889775
1088,4925930
1089,5298940
1090,4888446
1091,4994502
1092,5547669
1093,5535629
1094,5051090
1095,4770068
1096,5676682
1097,5009619
1098,5073202
1099,5161895
1100,5149271
1101,5154286
1102,5247774
1103,5099663
1104,5279079
1105,5196405
1106,4983584
1107,4871458
1108,4903075
1109,4777204
1110,6071226
1111,5012141
1112,4747728
1113,4664580
1114,4396624
1115,4811611
1116,4886618
1117,4819026
1118,4775800
1119,4836978
1120,4652117
1121,4704168
1122,4719595
1123,4746264
1124,4693195
1125,4928039
1126,4769938
1127,4797272
1128,4769566
1129,5049328
1130,4974835
1131,4960124
1132,5003547
1133,4891481
1134,4926083
1135,5372231
1136,5081587
1137,4941465
1138,4990325
1139,4766664
1140,6568206
1141,5293631
1142,5130799
1143,6268642
1144,5112651
1145,5341466
1146,4932987
1147,5011217
1148,4938257
1149,4717926
1150,4774157
1151,4787447
1152,4680526
1153,4690169
1154,4750662
1155,4684063
1156,4621622
1157,4558649
1158,5587847
1159,4950677
1160,4652146
1161,4609596
1162,4821687
1163,4841239
1164,4794587
1165,4755355
1166,4745575
1167,4959125
1168,4964763
1169,4795752
1170,4876671
1171,4980493
1172,4923422
1173,4898930
1174,4981251
1175,4997256
1176,4872600
1177,4920182
1178,4799201
1179,4997945
1180,4964088
1181,4879289
1182,5007529
1183,4894602
1184,4817004
1185,5039815
1186,5037200
1187,4895037
1188,4788863
1189,4677233
1190,4672161
1191,4770328
1192,4771316
1193,4782632
1194,4839171
1195,4713404
1196,4664440
1197,4693619
1198,4811936
1199,4552888
1200,4593426
1201,4728919
1202,4853223
1203,4793610
1204,4680792
1205,4769557
1206,4797907
1207,4851655
1208,4716366
1209,4869907
1210,4917377
1211,4848029
1212,5076763
1213,4945304
1214,4833785
1215,4981103
1216,4812618
1217,4938656
1218,5144206
1219,5047967
1220,5106234
1221,4826224
1222,4992560
1223,5219007
1224,4994327
1225,4986831
1226,4966327
1227,5898996
1228,4839907
1229,4716694
1230,4707899
1231,4804671
1232,4778784
1233,4483040
1234,4592764
1235,4771088
1236,5091093
1237,4704729
1238,4677203
1239,4644270
1240,4719260
1241,4680283
1242,4906112
1243,6437074
1244,5080776
1245,4783003
1246,4871383
1247,4904541
1248,5075855
1249,5135428
1250,5012793
1251,5114371
1252,4980741
1253,4880082
1254,4790623
1255,5183385
1256,4936772
1257,4962408
1258,4989998
1259,7521529
1260,5142598
1261,4866534
1262,4935541
1263,4673913
1264,4678844
1265,4716828
1266,4691943
1267,4587396
1268,4690081
1269,4730444
1270,4709334
1271,4768371
1272,4755679
1273,4499826
1274,4450588
1275,4973493
1276,4515704
1277,4580971
1278,4815857
1279,4724513
1280,4759771
1281,4865111
1282,4809529
1283,4803879
1284,4831889
1285,4789673
1286,4752297
1287,5769133
1288,4818397
1289,5033083
1290,4838624
1291,4805706
1292,4934263
1293,5070636
1294,4762974
1295,5141755
1296,4691496
1297,4612894
1298,5063147
1299,4922431
1300,4852792
1301,4801156
1302,4774200
1303,4836202
1304,4733936
1305,4621699
1306,4666851
1307,4741797
1308,5873856
1309,4857907
1310,4526749
1311,4476319
1312,4458547
1313,4554863
1314,4544015
1315,4660106
1316,4545763
1317,4725464
1318,4723531
1319,4524874
1320,5030843
1321,4804441
1322,4958053
1323,4915770
1324,5160406
1325,5034506
1326,5090892
1327,4823641
1328,5401122
1329,5576911
1330,4934004
1331,6800768
1332,5725229
1333,5132344
1334,6546040
1335,5056063
1336,9150267
1337,9191562
1338,9454519
1339,5070491
1340,4846097
1341,4700848
1342,4756826
1343,4709914
1344,4753602
1345,4803373
1346,6165011
1347,5042744
1348,4870620
1349,4672346
1350,5913493
1351,8082635
1352,8352020
1353,8828796
1354,5497095
1355,4881303
1356,4969876
1357,4635473
1358,4969984
