n,time
15,2300
15,2400
15,3900
15,2500
15,2400
15,2400
15,2300
15,3800
15,4200
15,2400
15,2300
15,3900
15,2500
15,3900
15,2500
15,2400
15,2300
15,2400
15,2400
15,2300
15,2300
15,2400
15,3100
15,3100
15,4300
15,4200
15,2400
15,2400
15,2400
15,2400
15,2400
15,3400
15,2400
15,2400
15,2400
15,2400
15,2300
15,3700
15,2400
15,2300
15,2400
15,2400
15,2300
15,3900
15,3600
15,2400
15,2400
15,2300
15,2300
15,2300
15,2300
15,2300
15,2300
15,2400
15,2300
15,2400
15,2300
15,2400
15,3800
15,2400
15,4100
15,2400
15,4100
15,2300
15,2300
15,4000
15,2400
15,2300
15,2400
15,2400
15,4100
15,2400
15,4400
15,4100
15,4100
15,2500
15,2400
15,3900
15,2400
15,5400
15,2300
15,4100
15,2300
15,2400
15,2400
15,4100
15,2400
15,2300
15,3800
15,2400
15,4200
15,3100
15,3400
15,3400
15,3400
15,4100
15,3700
15,5300
15,3600
15,3700
15,3600
15,3700
15,3700
15,3600
15,3600
15,3600
15,3700
15,3700
15,3700
15,3700
15,3700
15,3600
15,3600
15,3600
15,3700
15,3600
15,3600
15,3700
15,3700
15,3700
15,5200
15,3700
15,3600
15,3600
15,3700
15,4000
15,4300
15,2400
15,2400
15,3700
15,4000
15,2400
15,3700
15,3400
15,2400
15,4100
15,2900
15,4200
15,2400
15,2400
15,4300
15,4300
15,2500
15,3800
15,3800
15,3400
15,3300
15,3500
15,3100
15,3200
15,3800
15,3700
15,3400
15,3200
15,3600
15,2600
15,2400
15,2300
15,2400
15,2300
15,2400
15,2400
15,2400
15,2400
15,2300
15,2300
15,2300
15,2400
15,2400
15,2300
15,4300
15,2400
15,2400
15,2300
15,2400
15,3400
15,2300
15,2400
15,2300
15,2400
15,2300
15,2300
15,2400
15,2400
15,2400
15,2400
15,2400
15,2300
15,2300
15,2400
15,2400
15,2300
15,2400
15,2400
15,2300
15,2300
15,2300
15,2400
15,2300
15,2400
15,2300
15,2400
15,2400
15,2400
15,2300
15,2400
15,2300
15,2400
15,2300
15,2300
15,2400
15,3600
15,3700
15,4000
15,3200
15,3500
15,3400
15,3500
15,3000
15,3000
15,3500
15,3500
15,3100
15,3500
15,3600
15,3100
15,3700
15,3700
15,3300
15,2400
15,2300
15,3700
15,4500
15,2400
15,2400
15,2400
15,2400
15,2400
15,3800
15,2400
15,2400
15,2400
15,2400
15,2300
15,2400
15,3900
15,2400
15,2400
15,2400
15,3900
15,4100
15,2400
15,2300
15,4100
15,2400
15,2400
15,2300
15,2300
15,3600
15,4300
15,2400
15,2400
15,2400
15,2300
15,3800
15,2400
15,2400
15,2400
15,3800
15,3300
15,2400
15,3100
15,2500
15,2500
15,2400
15,2500
15,2400
15,24200
15,6100
15,4000
15,2400
15,2400
15,3800
15,2400
15,2400
15,2400
15,2400
15,2400
15,2400
15,2400
15,2400
15,2300
15,2400
15,2300
15,2400
15,2400
15,2300
15,2300
15,2300
15,2300
20,354200
20,57200
20,36500
20,23500
20,23400
20,23400
20,36100
20,23500
20,23400
20,23400
20,38200
20,34400
20,29900
20,23400
20,23500
20,35600
20,23400
20,30000
20,23400
20,23400
20,23500
20,23400
20,36500
20,38000
20,38300
20,37100
20,34400
20,37700
20,37300
20,37300
20,30700
20,23500
20,36700
20,23400
20,31400
20,37000
20,36200
20,30300
20,23400
20,23500
20,23500
20,31000
20,23400
20,23300
20,23400
20,23400
20,23400
20,23400
20,23400
20,27900
20,23300
20,47300
20,38300
20,38200
20,38300
20,38200
20,46800
20,38300
20,38200
20,38300
20,38200
20,65300
20,38300
20,38200
20,35900
20,23400
20,23400
20,30100
20,23400
20,31000
20,30900
20,32400
20,35700
20,23400
20,23500
20,33000
20,33900
20,37200
20,32600
20,35500
20,33600
20,38400
20,35800
20,34700
20,38300
20,39000
20,40300
20,35600
20,36700
20,23500
20,23500
20,23400
20,23600
20,23400
20,23300
20,37000
20,24600
20,23400
20,37000
20,36300
20,38100
20,26800
20,23500
20,36700
20,23400
20,37000
20,36700
20,23400
20,23400
20,37800
20,37200
20,37800
20,37500
20,36800
20,36800
20,37800
20,23400
20,29300
20,34600
20,36500
20,23400
20,23400
20,23400
20,37600
20,23400
20,34900
20,23400
20,36700
20,28500
20,37500
20,23500
20,34700
20,23300
20,34600
20,23400
20,23400
20,36100
20,36800
20,37000
20,36900
20,37000
20,23300
20,23400
20,23400
20,23300
20,36700
20,36600
20,36800
20,37100
20,23400
20,23300
20,23400
20,23300
20,23400
20,23400
20,23400
20,36800
20,23300
20,36400
20,37300
20,36500
20,38500
20,44500
20,36600
20,35100
20,23500
20,28600
20,34600
20,36100
20,37400
20,23400
20,23400
20,38200
20,23400
20,35100
20,34000
20,23400
20,23400
20,23400
20,23500
20,36300
20,23400
20,34800
20,23400
20,23400
20,23300
20,36600
20,23400
20,23400
20,23400
20,23500
20,23400
20,26000
20,49200
20,23500
20,23400
20,23400
20,37700
20,23400
20,31800
20,23400
20,23400
20,23400
20,23400
20,23300
20,23300
20,69300
20,39100
20,31500
20,35700
20,23500
20,37700
20,35600
20,23400
20,23400
20,23400
20,23400
20,23500
20,23400
20,23400
20,23300
20,23400
20,23400
20,23400
20,30700
20,23400
20,23500
20,23300
20,23400
20,23400
20,23400
20,23300
